Ref,Val,Package,PosX,PosY,Rot,Side
"C4","1uF","C_0201_0603Metric",39.445000,33.750000,90.000000,bottom
"C5","1uF","C_0201_0603Metric",38.045000,33.800000,-90.000000,bottom
"C10","10nF","C_0201_0603Metric",42.775000,39.300000,90.000000,bottom
"C11","0.1uF","C_0201_0603Metric",43.475000,39.280000,90.000000,bottom
"C12","10uF","C_0402_1005Metric",41.925000,39.500000,90.000000,bottom
"C20","47nF","C_0201_0603Metric",44.325000,39.300000,90.000000,bottom
"C21","1uF","C_0201_0603Metric",39.935000,38.140000,0.000000,bottom
"C23","10nF","C_0201_0603Metric",38.145000,36.830000,90.000000,bottom
"C24","27pF","C_0201_0603Metric",40.225000,34.800000,180.000000,bottom
"C25","0.1uF","C_0201_0603Metric",46.575000,39.050000,180.000000,bottom
"C26","0.1uF","C_0201_0603Metric",38.125000,35.380000,-90.000000,bottom
"C27","0.1uF","C_0201_0603Metric",39.055000,35.160000,90.000000,bottom
"C28","0.1uF","C_0201_0603Metric",39.745000,32.700000,180.000000,bottom
"J3","2013496-9","KYOCERA_046844727002846+",42.425000,30.610000,180.000000,bottom
"L1","CBC3225T101MR","L_1210_3225Metric",39.025000,40.800000,90.000000,bottom
"L2","ASMPH-0805-4R7M-T","L_0805_2012Metric",42.387500,42.100000,180.000000,bottom
"L3","BLF03RD501GZED","L_0201_0603Metric",41.055000,39.220000,-90.000000,bottom
"R2","2k","R_0201_0603Metric",42.325000,40.900000,0.000000,bottom
"R5","10k","R_0201_0603Metric",38.375000,38.100000,0.000000,bottom
"R8","10k","R_0201_0603Metric",38.335000,32.700000,0.000000,bottom
"R11","1k","R_0201_0603Metric",40.165000,33.750000,90.000000,bottom
"R12","22","R_0201_0603Metric",40.225000,35.500000,180.000000,bottom
"U2","NCP163AFCT180T2G","ONSEMI_567JZ_WLCSP4-0.64x0.64",38.745000,33.800000,-90.000000,bottom
"U3","DS90UB933TRTVTQ1","TI_RTV0032A",44.025000,35.600000,0.000000,bottom
"U5","KC2016Z48.0000C15XXK","ECS_2016MV",39.825000,36.800000,0.000000,bottom
"U6","CAT24C04C4ATR","ONSEMI_567JZ_WLCSP4-0.84x0.86",45.275000,39.100000,90.000000,bottom
