Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0201_0603Metric",41.225000,39.200000,90.000000,top
"C2","1uF","C_0201_0603Metric",39.905000,39.600000,180.000000,top
"C3","10uF","C_0402_1005Metric",38.125000,38.100000,-90.000000,top
"C6","10nF","C_0201_0603Metric",46.545000,34.000000,0.000000,top
"C7","0.1uF","C_0201_0603Metric",46.545000,34.700000,0.000000,top
"C8","10nF","C_0201_0603Metric",44.025000,33.000000,-90.000000,top
"C9","0.1uF","C_0201_0603Metric",44.725000,33.000000,-90.000000,top
"C13","10nF","C_0201_0603Metric",42.375000,37.450000,180.000000,top
"C14","0.1uF","C_0201_0603Metric",42.975000,38.550000,90.000000,top
"C15","10uF","C_0402_1005Metric",42.125000,38.750000,90.000000,top
"C16","10nF","C_0201_0603Metric",44.385000,37.790000,-90.000000,top
"C17","0.1uF","C_0201_0603Metric",43.685000,37.790000,-90.000000,top
"C18","10uF","C_0402_1005Metric",45.255000,36.530000,180.000000,top
"C19","0.1uF","C_0201_0603Metric",44.475000,39.300000,90.000000,top
"C22","0.1uF","C_0201_0603Metric",46.875000,35.750000,90.000000,top
"D1","SML-P11UTT86R","ROHM_SML-P11MTT86R",45.975000,38.350000,0.000000,top
"J1","X.FL-R-SMT-1(02)","HIROSE_X.FL-R-SMT-1",42.525000,41.500000,0.000000,top
"J2","2013496-9","KYOCERA_046844727002846+",42.425000,30.600000,0.000000,top
"J4","SBH11-PBPC-D05-ST-BK","IDC-Header_2x05_P2.54mm_Vertical",23.080000,48.552500,-90.000000,top
"J6","050700622","MOLEX_5050700622",39.085000,41.570000,0.000000,top
"L4","BLF03RD501GZED","L_0201_0603Metric",46.855000,37.150000,90.000000,top
"R1","2k","R_0201_0603Metric",38.375000,39.650000,180.000000,top
"R3","1k","R_0201_0603Metric",45.825000,39.150000,0.000000,top
"R4","10k","R_0201_0603Metric",45.775000,37.500000,180.000000,top
"R6","10k","R_0201_0603Metric",41.225000,37.800000,-90.000000,top
"R7","49.9","R_0201_0603Metric",43.725000,39.250000,-90.000000,top
"R9","1k","R_0201_0603Metric",43.975000,36.030000,90.000000,top
"R10","1k","R_0201_0603Metric",43.985000,34.610000,90.000000,top
"U1","MIC5335-JGYMT","MICROCHIP_TDFN-6-1EP_1.6x1.6mm_P0.5mm_EP0.5x1.4mm",39.725000,38.100000,0.000000,top
"U4","TS5A3159AYZPR ","TI_YZP0006",45.065000,34.890000,0.000000,top
"U7","BNO055","LGA-28_5.2x3.8mm_P0.5mm",40.612500,34.750000,0.000000,top
