"null","Sourced","Placed","References","Value","Footprint","Voltage","CASE/PACKAGE","Tolerance","Quantity"
1,"","","C7, C9, C11, C14, C17, C19, C22, C25, C26, C27, C28","0.1uF","C_0201_0603Metric","25V",201,"",11
2,"","","C6, C8, C10, C13, C16, C23","10nF","C_0201_0603Metric","35V",201,"",6
3,"","","C1, C2, C4, C5, C21","1uF","C_0201_0603Metric","10V",201,"",5
4,"","","C3, C12, C15, C18","10uF","C_0402_1005Metric","10V",402,"",4
5,"","","C20","47nF","C_0201_0603Metric","25V",201,"",1
6,"","","C24","27pF","C_0201_0603Metric","35V",201,"",1
7,"","","R3, R9, R10, R11","1k","R_0201_0603Metric","",201,"1%",4
8,"","","R4, R5, R6, R8","10k","R_0201_0603Metric","",201,"1%",4
9,"","","R1, R2","2k","R_0201_0603Metric","",201,"1%",2
10,"","","R7",49.9,"R_0201_0603Metric","",201,"1%",1
11,"","","R12",22,"R_0201_0603Metric","",201,"1%",1
12,"","","L3, L4","BLF03RD501GZED","L_0201_0603Metric","",201,"",2
13,"","","L1","CBC3225T101MR","L_1210_3225Metric","",1210,"",1
14,"","","L2","CIG21L4R7MNE","L_0805_2012Metric","",805,"",1
15,"","","D1","SML-P11UTT86R","ROHM_SML-P11MTT86R","","","",1
16,"","","U1","MIC5335-JGYMT","MICROCHIP_TDFN-6-1EP_1.6x1.6mm_P0.5mm_EP0.5x1.4mm","","","",1
17,"","","U2","NCP163AFCT180T2G","ONSEMI_567JZ_WLCSP4-0.64x0.64","","","",1
18,"","","U3","DS90UB9x3","TI_RTV0032A","","","",1
19,"","","U4","TS5A3159A","TI_YZP0006","","","",1
20,"","","U5","DSC6011JI1A-048.0000","MICROCHIP_VFLGA4-2.0x1.6","","","",1
21,"","","U6","CAT24Cxx","ONSEMI_567JZ_WLCSP4-0.84x0.86","","","",1
22,"","","U7","BNO055","LGA-28_5.2x3.8mm_P0.5mm","","","",1
23,"","","J2, J3","2013496-9","TE_2013496-9","","","",2
24,"","","J1","X.FL-R-SMT-1","HIROSE_X.FL-R-SMT-1","","","",1
25,"","","J4","SBH11-PBPC-D05-ST-BK","IDC-Header_2x05_P2.54mm_Vertical","","","",1
